q20	q30	Q40	EHFB	E_zpe	B2020	B2030	B3030
3000.0	24000.0	406048.3	-1902.786833	2.837	5.58834e-06	-1.84467e-07	7.07939e-09
3000.0	28000.0	583047.9	-1900.621681	2.604	7.74691e-06	-2.68212e-07	1.02498e-08
3000.0	32000.0	858194.4	-1899.706159	2.528	5.01822e-06	-1.71721e-07	6.79527e-09
3000.0	36000.0	971983.1	-1899.225811	3.81	2.97171e-06	-1.05184e-07	4.17635e-09
3000.0	40000.0	1081317.0	-1898.121569	3.221	3.48883e-06	-1.20066e-07	4.48651e-09
3000.0	44000.0	1190234.0	-1896.266596	3.256	4.26458e-06	-1.48667e-07	5.50257e-09
3000.0	48000.0	1299652.0	-1893.693554	3.701	4.23412e-06	-1.51177e-07	5.70451e-09
3000.0	52000.0	1408527.0	-1890.514229	3.597	4.76845e-06	-1.72411e-07	6.54047e-09
3200.0	0.0	129739.9	-1909.626543	3.408	3.09187e-06	2.52985e-14	2.2842e-08
3200.0	4000.0	129652.0	-1909.746129	3.262	3.60977e-06	-1.67686e-08	2.43559e-08
3200.0	8000.0	126480.0	-1910.074785	2.677	6.93303e-06	-1.11692e-07	4.18912e-08
3200.0	12000.0	119302.4	-1910.542527	2.905	5.882e-06	-5.73939e-08	3.56754e-08
3200.0	16000.0	120598.6	-1909.900148	2.988	6.05496e-06	-8.87088e-08	2.90387e-08
3200.0	20000.0	126963.6	-1906.963233	2.963	5.16392e-06	-1.60661e-07	2.68369e-08
3200.0	24000.0	369783.8	-1902.95484	2.772	7.31322e-06	-2.42703e-07	9.08828e-09
3200.0	28000.0	502856.8	-1900.968643	2.893	5.24005e-06	-1.73202e-07	6.67713e-09
3200.0	32000.0	693863.4	-1898.665101	2.506	8.58267e-06	-2.95421e-07	1.10897e-08
3200.0	36000.0	986152.8	-1897.895567	2.357	5.34595e-06	-1.71927e-07	6.20511e-09
3200.0	40000.0	1090736.0	-1897.841891	3.425	3.18724e-06	-1.11837e-07	4.33734e-09
3200.0	44000.0	1197739.0	-1897.208769	3.318	3.06609e-06	-1.06026e-07	4.01456e-09
3200.0	48000.0	1305759.0	-1895.807905	3.153	4.14142e-06	-1.44605e-07	5.37862e-09
3200.0	52000.0	1414824.0	-1893.65408	3.38	4.329e-06	-1.53343e-07	5.75634e-09
3400.0	0.0	149582.2	-1908.211544	3.269	4.12721e-06	1.8595e-10	2.0087e-08
3400.0	4000.0	150643.7	-1908.429788	3.138	4.69824e-06	1.50039e-08	2.17942e-08
3400.0	8000.0	150431.9	-1909.030906	2.616	7.76978e-06	-4.95053e-08	3.51788e-08
3400.0	12000.0	144247.2	-1909.996505	2.571	9.19566e-06	-8.24654e-08	4.18783e-08
3400.0	16000.0	141762.1	-1910.407333	3.126	5.27199e-06	-8.84309e-08	2.52196e-08
3400.0	20000.0	143715.0	-1908.570828	3.148	4.37041e-06	-1.67859e-07	2.62871e-08
3400.0	24000.0	157813.6	-1903.851583	2.979	3.82478e-06	-1.99314e-07	3.07577e-08
3400.0	28000.0	463745.5	-1900.998238	2.651	9.18132e-06	-2.98292e-07	1.06792e-08
3400.0	32000.0	599318.8	-1899.085956	2.9	5.37337e-06	-1.76749e-07	6.76978e-09
3400.0	36000.0	746815.9	-1896.881533	3.036	1.16762e-05	-4.07954e-07	1.49105e-08
3400.0	40000.0	1129850.0	-1896.469945	2.88	5.92361e-06	-1.98812e-07	7.19345e-09
3400.0	44000.0	1245230.0	-1896.399267	3.26	6.46233e-06	-2.17517e-07	7.73216e-09
3400.0	48000.0	1313819.0	-1896.340382	3.395	2.73874e-06	-9.51573e-08	3.66833e-09
3400.0	52000.0	1420265.0	-1895.388797	3.341	3.83683e-06	-1.3331e-07	4.9944e-09
3600.0	0.0	77085.62	-1906.602742	3.411	6.21479e-06	1.07645e-09	2.46724e-08
3600.0	4000.0	169909.3	-1907.025125	3.433	2.02646e-06	1.12112e-09	2.0689e-08
3600.0	8000.0	170415.9	-1907.908967	3.096	2.27224e-06	-1.56217e-08	2.82161e-08
3600.0	12000.0	166136.7	-1909.250573	2.447	6.45361e-06	-7.03713e-08	4.68839e-08
