       Z           N           Q20         Q30         BE              E0            M22           M32           M33
      100.00      156.00       72.00       36.00    -1848.8320        1.0050        0.1133       -0.1844        0.3869
      100.00      156.00       72.00       40.00    -1843.8680        0.7730        0.1127       -0.1667        0.3338
      100.00      156.00       72.00       44.00    -1840.5980        0.8169        0.0771       -0.1187        0.2370
      100.00      156.00       72.00       48.00    -1843.1980        1.0370        0.0591       -0.1021        0.1950
      100.00      156.00       72.00       52.00    -1845.2220        0.9629        0.0776       -0.1345        0.2551
      100.00      156.00       72.00       56.00    -1846.8120        1.0643        0.0774       -0.1316        0.2432
      100.00      156.00       72.00       60.00    -1848.8650        2.4216        0.2240       -0.3916        0.7138
      100.00      156.00       76.00        0.00    -1880.3860        1.9613        0.0854        0.0000        0.0662
      100.00      156.00       76.00        4.00    -1879.0820        1.6028        0.0817       -0.0057        0.0662
      100.00      156.00       76.00        8.00    -1877.1660        1.1099        0.0476       -0.0272        0.1263
