destinationFile	isConverged	Q1	Q20	Q30	Q40	q5	q6	q7	q8	M_22	M_32	M_33	EHFB	sourceFile	expected_Z	expected_N	expected_q20	expected_q30	bet2	bet3	filter_maxDeltaE	filter_bluff	isCorrect
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000011.hel	False	1.088097	326.150961	10.580943	102.907471	21.36403	96.640834	29.558852	87.887386	0.001993	-0.0005803	0.006305	-1888.854188	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000009.hel	100	154	326.0	10.0	2.936	0.14	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000012.hel	False	0.004357	326.001785	6.002708	103.221959	12.694117	96.81236	17.931843	87.274293	0.00189	-0.0003261	0.006149	-1888.014425	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000010.hel	100	154	326.0	6.0	2.936	0.084	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000013.hel	False	0.019981	325.998279	3.995	102.862899	8.447142	95.785964	11.857711	85.235839	0.001888	-0.0002222	0.006158	-1887.703626	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000011.hel	100	154	326.0	4.0	2.936	0.056	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000014.hel	True	0.000216	99.996893	16.0028	18.750856	17.114188	15.428524	15.100542	13.953317	0.007743	-0.006655	0.02604	-1866.295189	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000012.hel	100	154	100.0	16.0	0.901	0.224	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000015.hel	True	0.000312	96.001936	19.999126	47.296248	87.689597	180.526101	364.3781	735.217497	0.007658	-0.009329	0.01838	-1850.743287	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000013.hel	100	154	96.0	20.0	0.865	0.28	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000016.hel	True	0.000218	330.00033	22.002071	108.837692	47.669522	112.330996	72.070323	118.926571	0.002535	-0.001045	0.006288	-1894.129914	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_007/p154_100_000017.hel	100	154	330.0	22.0	2.972	0.308	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000017.hel	False	0.376112	107.897391	23.871162	23.787904	60.431656	28.534674	7.582074	87.679561	0.01093	0.006846	0.01759	-1643.049805	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000014.hel	100	154	108.0	24.0	0.973	0.337	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_004/p154_100_000001.hel	True	0.000779	110.000129	7.999855	16.093582	10.883724	8.911245	9.365764	6.574961	0.01133	-0.004371	0.02479	-1873.328554	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000016.hel	100	154	110.0	8.0	0.991	0.112	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_004/p154_100_000002.hel	True	0.000577	117.999861	20.000844	56.800845	105.610464	228.445208	478.859931	1003.690814	0.008924	-0.01029	0.0183	-1858.348056	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_005/p154_100_000016.hel	100	154	118.0	20.0	1.063	0.28	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_004/p154_100_000003.hel	False	0.10091	312.00672	4.049462	93.729012	8.00676	82.640795	10.447368	69.264271	0.001997	-0.0002534	0.006501	-1886.549055	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_004/p154_100_000006.hel	100	154	312.0	4.0	2.81	0.056	False	True	False
