Q20	Q30	Q40	M_22	M_32	M_33	M_42	M_43	M_44	EHFB
0.0	36.0	48.0	0.06874	0.1434	0.3816	0.005082	0.04342	0.02793	65.13478199999986
0.0	36.0	56.0	0.05048	0.00861	0.05456	0.06438	0.009454	0.1074	85.56619799999999
0.0	36.0	64.0	0.05297	0.009522	0.02428	0.06747	0.01445	0.09569	106.991984
0.0	36.0	72.0	0.07397	0.02183	0.03928	0.08991	0.02525	0.1232	119.42252199999984
0.0	36.0	80.0	0.04097	0.005596	0.03893	0.04672	0.002083	0.07362	134.17009199999984
0.0	36.0	88.0	0.03255	0.0003414	0.02563	0.03878	0.003507	0.05903	152.85228099999995
0.0	36.0	96.0	0.02882	0.001749	0.02508	0.03418	0.003368	0.05182	174.47489899999982
0.0	36.0	104.0	0.03981	0.00093	0.02277	0.04891	0.004862	0.07271	194.77721599999995
0.0	36.0	112.0	0.03275	0.002233	0.03503	0.03991	0.003198	0.06432	197.45683899999995
0.0	36.0	120.0	0.04092	0.03046	0.05028	0.02835	0.03054	0.0264	202.49121999999988
0.0	36.0	128.0	0.02625	0.001785	0.04761	0.02665	0.001618	0.04741	209.5800009999998
0.0	36.0	136.0	0.04095	0.001256	0.0393	0.05225	0.007915	0.0849	216.46479499999987
0.0	36.0	144.0	0.05098	0.002005	0.04325	0.06665	0.01201	0.1076	223.47003699999982
0.0	36.0	152.0	0.06953	0.006131	0.04385	0.09144	0.007304	0.1417	231.44124799999986
0.0	36.0	160.0	0.02136	0.006556	0.03979	0.0199	0.001287	0.03571	240.0198989999999
0.0	36.0	168.0	0.01771	0.002376	0.0492	0.01243	0.003151	0.02886	249.6864169999999
0.0	36.0	176.0	0.02089	0.003662	0.04417	0.0196	0.004335	0.03851	259.82688099999996
0.0	36.0	184.0	0.01533	0.002584	0.0332	0.01649	0.002622	0.03368	270.3345519999998
0.0	36.0	192.0	0.01437	0.003799	0.03427	0.01555	0.003956	0.03465	280.539051
0.0	36.0	200.0	0.01432	0.002673	0.02369	0.01695	0.001109	0.03168	290.31705999999986
0.0	40.0	0.0	0.01857	0.01605	0.2026	0.005029	0.0262	0.03684	189.69817599999988
0.0	40.0	8.0	0.01453	0.02556	0.1675	0.0004274	0.03518	0.0308	153.35744699999987
0.0	40.0	16.0	0.02819	0.04339	0.214	0.002579	0.03134	0.0318	128.49983399999996
0.0	40.0	24.0	0.03466	0.07941	0.3066	0.006386	0.05906	0.03074	108.3403249999999
0.0	40.0	32.0	0.04286	0.09612	0.3513	0.01569	0.0732	0.02813	98.03036199999997
0.0	40.0	40.0	0.05312	0.0997	0.3729	0.01269	0.06931	0.04559	78.85292099999992
